,player_name,player_id,team_id,year,height_cm,weight_kg,position,shooting_hand,retired,experience_total,experience_at_year,birthplace,birthdate
0,Nikola Jokić,j/jokicni01,DEN,2024,211,128,['Center'],Right,False,9,8,Serbia,1995-02-19
1,Joel Embiid,e/embiijo01,PHI,2023,213,127,['Center'],Right,False,8,6,Cameroon,1994-03-16
2,Nikola Jokić,j/jokicni01,DEN,2022,211,128,['Center'],Right,False,9,6,Serbia,1995-02-19
3,Nikola Jokić,j/jokicni01,DEN,2021,211,128,['Center'],Right,False,9,5,Serbia,1995-02-19
4,Giannis Antetokounmpo,a/antetgi01,MIL,2020,211,109,"['Power Forward', 'Small Forward', 'Point Guard', 'Shooting Guard']",Right,False,11,6,Greece,1994-12-06
5,Giannis Antetokounmpo,a/antetgi01,MIL,2019,211,109,"['Power Forward', 'Small Forward', 'Point Guard', 'Shooting Guard']",Right,False,11,5,Greece,1994-12-06
6,James Harden,h/hardeja01,HOU,2018,196,99,"['Point Guard', 'Shooting Guard']",Left,False,15,8,United States,1989-08-26
7,Russell Westbrook,w/westbru01,OKC,2017,193,90,['Point Guard'],Right,False,16,8,United States,1988-11-12
8,Stephen Curry,c/curryst01,GSW,2016,188,83,['Point Guard'],Right,False,15,6,United States,1988-03-14
9,Stephen Curry,c/curryst01,GSW,2015,188,83,['Point Guard'],Right,False,15,5,United States,1988-03-14
10,Kevin Durant,d/duranke01,OKC,2014,211,108,"['Small Forward', 'Power Forward', 'Shooting Guard']",Right,False,16,5,United States,1988-09-29
11,LeBron James,j/jamesle01,MIA,2013,206,113,"['Small Forward', 'Power Forward', 'Point Guard', 'Center', 'Shooting Guard']",Right,False,21,9,United States,1984-12-30
12,LeBron James,j/jamesle01,MIA,2012,206,113,"['Small Forward', 'Power Forward', 'Point Guard', 'Center', 'Shooting Guard']",Right,False,21,8,United States,1984-12-30
13,Derrick Rose,r/rosede01,CHI,2011,190,90,['Point Guard'],Right,True,15,15,United States,1988-10-04
14,LeBron James,j/jamesle01,CLE,2010,206,113,"['Small Forward', 'Power Forward', 'Point Guard', 'Center', 'Shooting Guard']",Right,False,21,6,United States,1984-12-30
15,LeBron James,j/jamesle01,CLE,2009,206,113,"['Small Forward', 'Power Forward', 'Point Guard', 'Center', 'Shooting Guard']",Right,False,21,5,United States,1984-12-30
16,Kobe Bryant,b/bryanko01,LAL,2008,198,96,"['Shooting Guard', 'Small Forward']",Right,True,20,20,United States,1978-08-23
17,Dirk Nowitzki,n/nowitdi01,DAL,2007,213,111,"['Power Forward', 'Center']",Right,True,21,21,Germany,1978-06-19
18,Steve Nash,n/nashst01,PHO,2006,190,88,['Point Guard'],Right,True,18,18,South Africa,1974-02-07
19,Steve Nash,n/nashst01,PHO,2005,190,88,['Point Guard'],Right,True,18,18,South Africa,1974-02-07
20,Kevin Garnett,g/garneke01,MIN,2004,211,108,"['Power Forward', 'Center', 'Small Forward']",Right,True,21,21,United States,1976-05-19
21,Tim Duncan,d/duncati01,SAS,2003,211,113,"['Center', 'Power Forward']",Right,True,19,19,U.S. Virgin Islands,1976-04-25
22,Tim Duncan,d/duncati01,SAS,2002,211,113,"['Center', 'Power Forward']",Right,True,19,19,U.S. Virgin Islands,1976-04-25
23,Allen Iverson,i/iversal01,PHI,2001,183,74,"['Shooting Guard', 'Point Guard']",Right,True,14,14,United States,1975-06-07
24,Shaquille O'Neal,o/onealsh01,LAL,2000,216,147,['Center'],Right,True,19,19,United States,1972-03-06
