player_id,position
j/jokicni01,Center
e/embiijo01,Center
a/antetgi01,Power Forward
a/antetgi01,Small Forward
a/antetgi01,Point Guard
a/antetgi01,Shooting Guard
h/hardeja01,Point Guard
h/hardeja01,Shooting Guard
w/westbru01,Point Guard
c/curryst01,Point Guard
d/duranke01,Small Forward
d/duranke01,Power Forward
d/duranke01,Shooting Guard
j/jamesle01,Small Forward
j/jamesle01,Power Forward
j/jamesle01,Point Guard
j/jamesle01,Center
j/jamesle01,Shooting Guard
r/rosede01,Point Guard
b/bryanko01,Shooting Guard
b/bryanko01,Small Forward
n/nowitdi01,Power Forward
n/nowitdi01,Center
n/nashst01,Point Guard
g/garneke01,Power Forward
g/garneke01,Center
g/garneke01,Small Forward
d/duncati01,Center
d/duncati01,Power Forward
i/iversal01,Shooting Guard
i/iversal01,Point Guard
o/onealsh01,Center
m/malonka01,Power Forward
j/jordami01,Shooting Guard
j/jordami01,Small Forward
r/robinda01,Center
o/olajuha01,Center
b/barklch01,Power Forward
b/barklch01,Small Forward
j/johnsma02,Point Guard
j/johnsma02,Shooting Guard
j/johnsma02,Power Forward
b/birdla01,Small Forward
b/birdla01,Power Forward
m/malonmo01,Center
m/malonmo01,Power Forward
e/ervinju01,Small Forward
e/ervinju01,Shooting Guard
a/abdulka01,Center
w/waltobi01,Center
m/mcadobo01,Center
m/mcadobo01,Power Forward
c/cowenda01,Center
c/cowenda01,Power Forward
r/reedwi01,Center
r/reedwi01,Power Forward
u/unselwe01,Center
c/chambwi01,Center
r/russebi01,Center
r/roberos01,Point Guard
p/pettibo01,Power Forward
p/pettibo01,Center
c/cousybo01,Point Guard
l/lillada01,Point Guard
b/bookede01,Shooting Guard
b/bookede01,Point Guard
y/youngtr01,Point Guard
d/doncilu01,Point Guard
d/doncilu01,Shooting Guard
b/bealbr01,Shooting Guard
m/mitchdo01,Shooting Guard
m/mitchdo01,Point Guard
d/davisan02,Center
d/davisan02,Power Forward
m/mccolcj01,Shooting Guard
m/mccolcj01,Point Guard
t/tatumja01,Small Forward
t/tatumja01,Power Forward
l/leonaka01,Small Forward
l/lavinza01,Shooting Guard
l/lavinza01,Small Forward
l/lavinza01,Point Guard
d/derozde01,Shooting Guard
d/derozde01,Small Forward
d/derozde01,Power Forward
i/ingrabr01,Small Forward
i/ingrabr01,Power Forward
h/harrito02,Power Forward
h/harrito02,Small Forward
h/hieldbu01,Shooting Guard
h/hieldbu01,Small Forward
s/siakapa01,Power Forward
s/sextoco01,Shooting Guard
s/sextoco01,Point Guard
g/gilgesh01,Point Guard
g/gilgesh01,Shooting Guard
w/warretj01,Small Forward
w/warretj01,Power Forward
d/dinwisp01,Point Guard
d/dinwisp01,Shooting Guard
m/middlkh01,Small Forward
m/middlkh01,Shooting Guard
b/bogdabo02,Small Forward
b/bogdabo02,Power Forward
r/randlju01,Power Forward
r/randlju01,Center
p/paulch01,Point Guard
s/schrode01,Point Guard
s/schrode01,Shooting Guard
f/fournev01,Shooting Guard
f/fournev01,Small Forward
v/vucevni01,Center
m/moranja01,Point Guard
w/willilo02,Point Guard
w/willilo02,Shooting Guard
b/brookdi01,Small Forward
b/brookdi01,Shooting Guard
w/wiggian01,Small Forward
w/wiggian01,Power Forward
h/harremo01,Center
h/harremo01,Power Forward
h/holidjr01,Point Guard
h/holidjr01,Shooting Guard
p/porzikr01,Center
p/porzikr01,Power Forward
g/gallida01,Small Forward
g/gallida01,Power Forward
g/gallida01,Shooting Guard
b/brownja02,Small Forward
b/brownja02,Shooting Guard
b/butleji01,Small Forward
b/butleji01,Shooting Guard
b/butleji01,Power Forward
s/sabondo01,Center
s/sabondo01,Power Forward
