team_year_id,team_id,year
DEN/2024,DEN,2024
PHI/2023,PHI,2023
DEN/2022,DEN,2022
DEN/2021,DEN,2021
MIL/2020,MIL,2020
MIL/2019,MIL,2019
HOU/2018,HOU,2018
OKC/2017,OKC,2017
GSW/2016,GSW,2016
GSW/2015,GSW,2015
OKC/2014,OKC,2014
MIA/2013,MIA,2013
MIA/2012,MIA,2012
CHI/2011,CHI,2011
CLE/2010,CLE,2010
CLE/2009,CLE,2009
LAL/2008,LAL,2008
DAL/2007,DAL,2007
PHO/2006,PHO,2006
PHO/2005,PHO,2005
MIN/2004,MIN,2004
SAS/2003,SAS,2003
SAS/2002,SAS,2002
PHI/2001,PHI,2001
LAL/2000,LAL,2000
UTA/1999,UTA,1999
CHI/1998,CHI,1998
UTA/1997,UTA,1997
CHI/1996,CHI,1996
SAS/1995,SAS,1995
HOU/1994,HOU,1994
PHO/1993,PHO,1993
CHI/1992,CHI,1992
CHI/1991,CHI,1991
LAL/1990,LAL,1990
LAL/1989,LAL,1989
CHI/1988,CHI,1988
LAL/1987,LAL,1987
BOS/1986,BOS,1986
BOS/1985,BOS,1985
BOS/1984,BOS,1984
PHI/1983,PHI,1983
HOU/1982,HOU,1982
PHI/1981,PHI,1981
LAL/1980,LAL,1980
HOU/1979,HOU,1979
POR/1978,POR,1978
LAL/1977,LAL,1977
LAL/1976,LAL,1976
BUF/1975,BUF,1975
MIL/1974,MIL,1974
BOS/1973,BOS,1973
MIL/1972,MIL,1972
MIL/1971,MIL,1971
NYK/1970,NYK,1970
BAL/1969,BAL,1969
PHI/1968,PHI,1968
PHI/1967,PHI,1967
PHI/1966,PHI,1966
BOS/1965,BOS,1965
CIN/1964,CIN,1964
BOS/1963,BOS,1963
BOS/1962,BOS,1962
BOS/1961,BOS,1961
PHW/1960,PHW,1960
STL/1959,STL,1959
BOS/1958,BOS,1958
BOS/1957,BOS,1957
STL/1956,STL,1956
HOU/2020,HOU,2020
POR/2020,POR,2020
PHO/2020,PHO,2020
ATL/2020,ATL,2020
DAL/2020,DAL,2020
WAS/2020,WAS,2020
LAL/2020,LAL,2020
UTA/2020,UTA,2020
BOS/2020,BOS,2020
LAC/2020,LAC,2020
CHI/2020,CHI,2020
SAS/2020,SAS,2020
NOP/2020,NOP,2020
DEN/2020,DEN,2020
PHI/2020,PHI,2020
SAC/2020,SAC,2020
TOR/2020,TOR,2020
CLE/2020,CLE,2020
OKC/2020,OKC,2020
IND/2020,IND,2020
BRK/2020,BRK,2020
NYK/2020,NYK,2020
ORL/2020,ORL,2020
MEM/2020,MEM,2020
MIN/2020,MIN,2020
GSW/2020,GSW,2020
MIA/2020,MIA,2020
CHO/2020,CHO,2020
GSW/2021,GSW,2021
POR/2021,POR,2021
WAS/2021,WAS,2021
DAL/2021,DAL,2021
MIL/2021,MIL,2021
PHO/2021,PHO,2021
NYK/2021,NYK,2021
BOS/2021,BOS,2021
NOP/2021,NOP,2021
ORL/2021,ORL,2021
CHI/2021,CHI,2021
ATL/2021,ATL,2021
SAC/2021,SAC,2021
CLE/2021,CLE,2021
PHI/2021,PHI,2021
BRK/2021,BRK,2021
CHO/2021,CHO,2021
UTA/2021,UTA,2021
MIN/2021,MIN,2021
SAS/2021,SAS,2021
LAC/2021,LAC,2021
TOR/2021,TOR,2021
IND/2021,IND,2021
DET/2021,DET,2021
MEM/2021,MEM,2021
MIA/2021,MIA,2021
LAL/2021,LAL,2021
ATL/2022,ATL,2022
CHI/2022,CHI,2022
PHI/2022,PHI,2022
BOS/2022,BOS,2022
MIL/2022,MIL,2022
DAL/2022,DAL,2022
PHO/2022,PHO,2022
MIN/2022,MIN,2022
UTA/2022,UTA,2022
LAL/2022,LAL,2022
BRK/2022,BRK,2022
GSW/2022,GSW,2022
CHO/2022,CHO,2022
MEM/2022,MEM,2022
TOR/2022,TOR,2022
CLE/2022,CLE,2022
NYK/2022,NYK,2022
SAS/2022,SAS,2022
OKC/2022,OKC,2022
POR/2022,POR,2022
NOP/2022,NOP,2022
SAC/2022,SAC,2022
MIA/2022,MIA,2022
DET/2022,DET,2022
IND/2022,IND,2022
LAC/2022,LAC,2022
BOS/2023,BOS,2023
DAL/2023,DAL,2023
OKC/2023,OKC,2023
MIL/2023,MIL,2023
MIN/2023,MIN,2023
NYK/2023,NYK,2023
CLE/2023,CLE,2023
ATL/2023,ATL,2023
CHI/2023,CHI,2023
POR/2023,POR,2023
SAC/2023,SAC,2023
TOR/2023,TOR,2023
UTA/2023,UTA,2023
DEN/2023,DEN,2023
HOU/2023,HOU,2023
GSW/2023,GSW,2023
PHO/2023,PHO,2023
BRK/2023,BRK,2023
MEM/2023,MEM,2023
LAL/2023,LAL,2023
NOP/2023,NOP,2023
MIA/2023,MIA,2023
WAS/2023,WAS,2023
ORL/2023,ORL,2023
SAS/2023,SAS,2023
IND/2023,IND,2023
DAL/2024,DAL,2024
OKC/2024,OKC,2024
MIL/2024,MIL,2024
NYK/2024,NYK,2024
MIN/2024,MIN,2024
PHO/2024,PHO,2024
BOS/2024,BOS,2024
SAC/2024,SAC,2024
GSW/2024,GSW,2024
CHI/2024,CHI,2024
LAL/2024,LAL,2024
PHI/2024,PHI,2024
ORL/2024,ORL,2024
ATL/2024,ATL,2024
TOR/2024,TOR,2024
IND/2024,IND,2024
LAC/2024,LAC,2024
HOU/2024,HOU,2024
BRK/2024,BRK,2024
NOP/2024,NOP,2024
WAS/2024,WAS,2024
SAS/2024,SAS,2024
MEM/2024,MEM,2024
CLE/2024,CLE,2024
UTA/2024,UTA,2024
CHO/2024,CHO,2024
DET/2024,DET,2024
MIA/2024,MIA,2024
