,Profit
0,5.04
1,6.33
2,273.56
3,-276.12
4,5.7
5,3.78
6,236.76
7,-44.916
8,26.4
9,-62.1
10,26.64
11,-11.72
12,-4.959
13,25.792
14,4.77
15,-21.832
16,-61.4655
17,45.36
18,7.04
19,15.33
20,2.79
21,50.48
22,-10.068
23,6.36
24,9.03
25,3.45
26,839.986
27,18.18
28,20.7
29,304.884
30,13.44
31,44.9775
32,-338.94
33,101.79
34,29.88
35,-2.1195
36,-26.109
37,50.22
38,123.66
39,20.844
40,63.117
41,4.1
42,13.62
43,93.594
44,342.0
45,1.256
46,181.062
47,58.86
48,229.98
49,7.92
50,34.02
51,6.69
52,21.5928
53,83.8858
54,13.26
55,239.976
56,39.348
57,3.12
58,44.56
59,17.85
60,15.9936
61,49.2
62,12.48
63,4.275
64,0.0
65,5.175
66,12.09
67,3.72
68,0.0
69,169.776
70,391.35
71,75.32
72,-83.106
73,22.08
74,9.03
75,2.52
76,611.1
77,-10.168
78,12.12
79,-2.5
80,16.1096
81,0.2
82,-16.4496
83,76.56
84,33.48
85,11.16
86,1.999
87,519.21
88,8.94
89,2.64
90,1.28
91,-76.68
92,-5.7204
93,-12.252
94,4.5
95,-5.568
96,-22.17
97,43.47
98,-99.3453
99,2.724
100,13.92
101,36.12
102,-3.81
103,6.999
104,10.08
105,3.42
106,178.543
107,14.772
108,8.64
109,2.2712
110,488.1
111,4.2
112,2.04
113,24.84
114,31.68
115,-58.797
116,3.42
117,-21.644
118,-1.965
119,47.55
120,-10.704
121,9.45
122,-97.5528
123,-8.24
124,-97.092
125,2.04
126,-150.732
127,-16.89
128,0.559
129,22.84
130,-82.056
131,3.285
132,2.88
133,27.3568
134,23.7
135,20.88
136,30.15
137,9.54
138,19.08
139,141.258
140,89.04
141,-7.56
142,-0.534
143,-9.3
144,137.04
145,-59.4
146,-87.1425
147,20.415
148,6.3
149,-20.7162
150,-97.176
151,5.3964
152,21.66
153,8.76
154,0.72
155,3.99
156,3.2392
157,0.27
158,46.98
159,153.06
160,7.512
161,95.52
162,1.54
163,6.84
164,54.234
165,113.64
166,1.96
167,-4.188
168,2.64
169,29.0136
170,35.28
171,-12.864
172,8.88
173,47.9646
174,-17.22
175,2.16
176,1112.13
177,130.77
178,48.6
179,15.96
180,14.1426
181,-24.332
182,12.36
183,-13.176
184,3.4686
185,17.52
186,13.3
187,336.635
188,17.04
189,11.88
190,40.23
191,18.27
192,17.55
193,95.88
194,-4.8609
195,0.3
196,-1783.08
197,-119.16
198,7.41
199,0.0
200,129.12
201,8.5728
202,239.22
203,20.52
204,5.82
205,4.98
206,-5.3442
207,155.68
208,40.3704
209,100.92
210,24.8832
211,23.8
212,24.6
213,-14.1372
214,2.85
215,-20.752
216,0.6312
217,8.685
218,-4.544
219,11.1664
220,7.44
221,3.8822
222,29.4455
223,19.824
224,-1779.77
225,19.7
226,-28.65
227,43.65
228,10.8
229,6.93
230,3.2
231,-21.672
232,11.88
233,137.844
234,10.26
235,-35.16
236,23.212
237,14.04
238,-18.084
239,86.25
240,49.5
241,120.3
242,31.4895
243,13.04
244,88.02
245,6.2496
246,11.58
247,51.24
248,-1.47
249,-58.1742
250,-64.4274
251,-241.065
252,2.88
253,9.8406
254,25.4744
255,42.9
256,11.376
257,-20.6964
258,6.9552
259,9.84
260,13.95
261,67.56
262,70.8
263,0.0
264,4.1769
265,-9.492
266,6.51
267,3.44
268,1.368
269,13.455
270,75.5958
271,8.04
272,317.16
273,102.45
274,-14.796
275,5.37
276,-261.336
277,429.3
278,19.5
279,-51.165
280,0.0
281,41.1684
282,96.8544
283,-100.223
284,9.3312
285,-623.94
286,9.36
287,3.45
288,-156.258
289,-3.414
290,-25.422
291,117.6
292,2.224
293,5.9696
294,3.12
295,-89.099
296,-86.3664
297,54.24
298,2.772
