"Order ID","product ID",sales,Quantity,Discount,Profit
US-2013-126655,OFF-EN-10000761,18.84,2,0.4,-6.6
US-2013-126655,FUR-FU-10003066,308.28,7,0.4,-149.1
US-2013-126655,OFF-EN-10000075,40.176,2,0.4,-6.064
US-2013-126655,OFF-EN-10002226,8.784,3,0.4,-4.836
MX-2013-167759,FUR-CH-10002132,273.472,4,0.2,95.712
US-2014-119753,OFF-BI-10003934,60.66,3,0.4,-20.22
US-2012-133970,FUR-FU-10001142,181.116,9,0.4,-75.564
MX-2014-120607,TEC-CO-10003541,326.186,2,0.002,64.7063
US-2013-167129,OFF-BI-10003709,141.288,7,0.4,-73.052
US-2013-167129,OFF-FA-10003529,21.84,4,0.4,-3.28
US-2013-167129,TEC-PH-10002483,114.816,4,0.4,-49.824
US-2013-167129,OFF-AR-10002055,19.272,2,0.4,2.872
US-2013-167129,OFF-AP-10000023,152.28,5,0.4,-99.02
US-2013-167129,TEC-CO-10004904,941.778,8,0.402,-601.742
US-2013-167129,OFF-AR-10000404,10.416,1,0.4,-0.704
MX-2014-121398,OFF-SU-10001132,62.4,3,0.2,8.58
US-2012-151372,OFF-ST-10003184,125.44,5,0.2,-0.06
US-2012-151372,TEC-CO-10001756,153.408,2,0.202,36.1275
US-2011-150987,TEC-CO-10003142,230.673,3,0.402,-85.6475
US-2011-150987,TEC-CO-10001756,172.439,3,0.402,-3.48072
US-2011-150987,OFF-AP-10004958,683.496,3,0.4,-79.764
US-2011-150987,OFF-EN-10000755,27.72,2,0.4,4.12
MX-2013-156013,OFF-FA-10003529,21.84,3,0.2,3
MX-2013-156013,FUR-BO-10000734,200.544,4,0.4,-13.376
US-2011-134950,OFF-AR-10001402,22.716,3,0.4,-11.784
US-2012-164609,FUR-BO-10003499,437.688,3,0.4,-248.052
US-2012-104997,FUR-TA-10004584,132.108,2,0.7,-92.492
MX-2011-165673,TEC-CO-10001978,635.626,5,0.002,266.126
US-2014-120194,FUR-TA-10004937,928.256,2,0.2,-81.224
US-2011-132388,TEC-MA-10002710,107.448,2,0.7,-121.792
US-2014-157630,OFF-SU-10003236,18.528,2,0.4,-8.352
