"Order ID","product ID",sales,Quantity,Discount,Profit
MX-2014-143658,OFF-LA-10002782,13.08,3,0,4.56
MX-2012-155047,FUR-FU-10004015,252.16,8,0,90.72
MX-2012-155047,FUR-BO-10002352,193.28,2,0,54.08
MX-2012-155047,OFF-BI-10004428,35.44,4,0,4.96
MX-2012-155047,OFF-AR-10004594,71.6,2,0,11.44
MX-2012-155047,OFF-EN-10001375,56.12,2,0,21.32
MX-2013-134096,OFF-EN-10001375,56.12,2,0,21.32
MX-2013-134096,TEC-MA-10004956,344.64,3,0,165.42
MX-2013-134096,OFF-SU-10003474,97.36,4,0,19.44
MX-2013-134096,TEC-AC-10001830,341.52,2,0,13.64
MX-2013-134096,OFF-BI-10002075,12.06,3,0,3.48
MX-2013-156335,OFF-FA-10002526,20.76,3,0,9.54
MX-2013-156335,FUR-CH-10002846,210.64,4,0,50.48
MX-2014-121923,OFF-EN-10004100,80.1,3,0,37.62
MX-2014-135706,OFF-AR-10003914,132.64,4,0,35.76
MX-2014-135706,OFF-FA-10000038,12.94,1,0,1.02
MX-2013-163139,TEC-AC-10002749,27,1,0,5.94
MX-2013-163139,OFF-SU-10000066,207,9,0,66.24
MX-2014-120607,OFF-ST-10004296,80,5,0,34.4
MX-2014-100727,OFF-SU-10004480,300.72,14,0,129.08
MX-2014-100727,OFF-SU-10003162,138.18,7,0,53.76
MX-2014-100727,OFF-SU-10002521,90.8,4,0,31.76
MX-2014-154739,FUR-TA-10004531,529.32,3,0,264.66
MX-2014-154739,FUR-BO-10002679,333.6,4,0,106.72
MX-2014-154739,OFF-FA-10004587,42.72,4,0,0.4
MX-2013-121839,TEC-PH-10001288,346.08,4,0,155.68
MX-2014-142643,TEC-MA-10003625,414,2,0,45.52
MX-2014-142643,OFF-AP-10002681,722.36,2,0,50.56
MX-2014-142643,TEC-AC-10004939,56.34,3,0,3.9
MX-2014-164959,FUR-CH-10002088,168.96,3,0,40.5
MX-2011-127145,FUR-FU-10003608,26.76,2,0,7.48
MX-2014-100783,OFF-FA-10002353,44.9,5,0,8.5
MX-2011-168662,OFF-SU-10003665,66.88,4,0,28.72
MX-2011-137897,TEC-PH-10000018,2124.5,5,0,488.6
MX-2013-152611,TEC-PH-10003416,391.32,9,0,144.72
MX-2011-155488,OFF-AP-10001723,63.54,1,0,20.96
MX-2014-116337,FUR-BO-10000624,875.22,3,0,139.98
MX-2014-165442,OFF-BI-10003952,68.6,2,0,26.72
MX-2014-165442,OFF-BI-10002080,48.7,5,0,17.5
MX-2011-165673,OFF-PA-10004385,17.96,2,0,5.72
MX-2013-164021,FUR-BO-10004113,874.68,3,0,411.06
MX-2013-164021,FUR-FU-10001583,75.96,6,0,37.92
MX-2012-156720,OFF-SU-10001750,28.5,1,0,12.24
MX-2012-156720,TEC-AC-10004379,98,5,0,20.5
MX-2012-156720,OFF-BI-10001430,8.96,2,0,3.92
MX-2012-156720,OFF-EN-10002122,135.7,5,0,31.2
MX-2013-119970,OFF-ST-10000990,263.92,2,0,5.24
MX-2013-119970,OFF-SU-10004643,144.3,5,0,36
MX-2014-165925,OFF-PA-10003380,36.72,3,0,10.26
MX-2014-137365,OFF-FA-10002247,76.96,8,0,9.92
MX-2012-158981,TEC-AC-10003851,142.68,3,0,32.76
MX-2012-158981,OFF-BI-10000280,41.94,9,0,0
MX-2012-158981,OFF-EN-10000857,255,10,0,91.8
MX-2013-169292,OFF-PA-10001385,58.9,5,0,15.3
MX-2013-169292,OFF-EN-10002186,88.3,5,0,8.8
MX-2013-169292,OFF-FA-10004781,17.68,2,0,2.28
MX-2011-112319,FUR-BO-10003438,575.96,7,0,120.82
MX-2011-112319,TEC-AC-10001491,55.36,2,0,1.64
MX-2011-149986,OFF-ST-10004412,96,3,0,4.8
MX-2013-158533,TEC-AC-10001405,494.64,3,0,197.82
MX-2013-165708,OFF-FA-10003496,39.4,5,0,5.1
US-2013-103051,OFF-AR-10001072,16.48,2,0,2.28
MX-2013-151988,OFF-EN-10002624,5.68,1,0,2.26
MX-2013-135895,TEC-AC-10003681,48.16,2,0,13.48
MX-2014-162152,TEC-PH-10000087,465,5,0,27.9
MX-2012-121006,OFF-SU-10002032,46.1,5,0,10.1
MX-2014-167801,TEC-PH-10000347,461.9,5,0,101.6
MX-2013-117471,OFF-AP-10000329,1052.16,3,0,0
MX-2013-117471,OFF-EN-10004870,184.66,7,0,33.18
MX-2013-117471,OFF-FA-10004920,33.6,3,0,9.72
MX-2014-148488,FUR-CH-10000105,145.1,5,0,63.8
MX-2014-148488,OFF-EN-10004518,199.2,8,0,63.68
MX-2014-148488,FUR-CH-10002653,191.2,2,0,38.24
MX-2014-148488,OFF-AR-10003123,107.82,3,0,51.72
MX-2011-158771,OFF-EN-10000857,185.76,6,0,3.6
MX-2014-135265,OFF-PA-10001164,47.4,3,0,22.26
MX-2011-165337,TEC-MA-10001305,464.64,4,0,171.84
MX-2013-158071,TEC-MA-10002040,347.88,3,0,121.74
MX-2013-158071,OFF-BI-10004624,29.04,3,0,1.98
MX-2012-163272,OFF-LA-10004519,23.46,3,0,9.36
MX-2012-163272,OFF-EN-10002186,70.64,4,0,7.04
MX-2013-106782,FUR-CH-10003853,195.78,3,0,9.78
MX-2013-106782,OFF-BI-10003184,19.3,5,0,7.1
MX-2013-106782,FUR-CH-10002010,193.1,5,0,79.1
MX-2011-140032,OFF-SU-10001421,103.08,3,0,26.76
MX-2012-144862,FUR-FU-10003414,58.7,5,0,9.3
MX-2012-144862,OFF-PA-10002033,105.06,3,0,36.72
MX-2012-137659,OFF-PA-10004849,37,2,0,3.68
MX-2012-137659,OFF-BI-10004275,13.62,3,0,6.48
MX-2014-133053,OFF-AR-10001694,168.4,5,0,3.3
MX-2014-133053,OFF-EN-10004988,152.64,6,0,35.04
MX-2012-133375,OFF-ST-10004368,255.22,7,0,99.4
MX-2012-133375,OFF-AR-10001192,210.48,6,0,75.72
MX-2012-107146,FUR-CH-10003853,326.3,5,0,16.3
MX-2012-107146,FUR-CH-10003623,277.6,5,0,2.7
MX-2011-104626,FUR-BO-10003463,650.88,8,0,32.48
MX-2013-141446,OFF-BI-10004142,10.72,2,0,4.48
MX-2013-141446,OFF-AP-10001682,46.98,1,0,9.86
